культура;попередник;доцільність
пшениця;кукуруза;1
пшениця;жито;1
пшениця;картопля рання;4
пшениця;овес;2
пшениця;ячмінь;1
пшениця;пшениця;1
пшениця;горох;4
пшениця;люпин на зерно;3
пшениця;цукрові буряки;1
пшениця;льон;4
пшениця;соняшник;1
пшениця;пар;4
жито;кукуруза;1
жито;жито;1
жито;картопля рання;4
жито;овес;1
жито;ячмінь;2
жито;пшениця;1
жито;горох;4
жито;люпин на зерно;2
жито;цукрові буряки;1
жито;льон;4
жито;соняшник;1
жито;пар;4
ячмінь;кукуруза;4
ячмінь;жито;3
ячмінь;картопля рання;4
ячмінь;овес;2
ячмінь;ячмінь;1
ячмінь;пшениця;3
ячмінь;горох;4
ячмінь;люпин на зерно;4
ячмінь;цукрові буряки;4
ячмінь;льон;4
ячмінь;соняшник;2
ячмінь;пар;4
овес;кукуруза;4
овес;жито;3
овес;картопля рання;4
овес;овес;1
овес;ячмінь;2
овес;пшениця;3
овес;горох;4
овес;люпин на зерно;4
овес;цукрові буряки;4
овес;льон;4
овес;соняшник;2
овес;пар;4
кукуруза;кукуруза;2
кукуруза;жито;4
кукуруза;картопля рання;4
кукуруза;овес;4
кукуруза;ячмінь;4
кукуруза;пшениця;4
кукуруза;горох;4
кукуруза;люпин на зерно;4
кукуруза;цукрові буряки;2
кукуруза;льон;4
кукуруза;соняшник;2
кукуруза;пар;4
соняшник;кукуруза;2
соняшник;жито;4
соняшник;картопля рання;4
соняшник;овес;4
соняшник;ячмінь;4
соняшник;пшениця;4
соняшник;горох;4
соняшник;люпин на зерно;4
соняшник;цукрові буряки;2
соняшник;льон;4
соняшник;соняшник;1
соняшник;пар;4
льон;кукуруза;4
льон;жито;2
льон;картопля рання;4
льон;овес;4
льон;ячмінь;2
льон;пшениця;3
льон;горох;3
льон;люпин на зерно;4
льон;цукрові буряки;3
льон;льон;1
льон;соняшник;1
льон;пар;4
горох;кукуруза;4
горох;жито;4
горох;картопля рання;4
горох;овес;4
горох;ячмінь;4
горох;пшениця;4
горох;горох;1
горох;люпин на зерно;1
горох;цукрові буряки;4
горох;льон;4
горох;соняшник;3
горох;пар;4
люпин на зерно;кукуруза;4
люпин на зерно;жито;4
люпин на зерно;картопля рання;4
люпин на зерно;овес;4
люпин на зерно;ячмінь;4
люпин на зерно;пшениця;4
люпин на зерно;горох;1
люпин на зерно;люпин на зерно;1
люпин на зерно;цукрові буряки;4
люпин на зерно;льон;4
люпин на зерно;соняшник;3
люпин на зерно;пар;4
цукрові буряки;кукуруза;2
цукрові буряки;жито;4
цукрові буряки;картопля рання;3
цукрові буряки;овес;3
цукрові буряки;ячмінь;4
цукрові буряки;пшениця;4
цукрові буряки;горох;4
цукрові буряки;люпин на зерно;3
цукрові буряки;цукрові буряки;1
цукрові буряки;льон;2
цукрові буряки;соняшник;1
цукрові буряки;пар;4
картопля рання;кукуруза;3
картопля рання;жито;4
картопля рання;картопля рання;1
картопля рання;овес;3
картопля рання;ячмінь;3
картопля рання;пшениця;4
картопля рання;горох;4
картопля рання;люпин на зерно;4
картопля рання;цукрові буряки;4
картопля рання;льон;4
картопля рання;соняшник;1
картопля рання;пар;4
пар;кукуруза;4
пар;жито;4
пар;картопля рання;4
пар;овес;4
пар;ячмінь;4
пар;пшениця;4
пар;горох;4
пар;люпин на зерно;4
пар;цукрові буряки;4
пар;льон;4
пар;соняшник;4
пар;пар;4
